time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-04-11T00:04:22.400Z,19.2486666666667,-155.395166666667,31.16,2.96,md,56,111,,0.12,hv,hv72420872,2021-04-12T00:05:50.889Z,"10 km ENE of Pāhala, Hawaii",earthquake,0.43,0.53,0.0890770146545097,25,reviewed,hv,hv
2021-04-10T23:57:28.580Z,36.4985,-114.7163,12.9,2.5,ml,17,272.96,0.321,0.27,nn,nn00804805,2021-04-11T01:11:08.255Z,"23 km SSW of Moapa Town, Nevada",earthquake,,1.3,,,automatic,nn,nn
2021-04-10T23:54:58.991Z,-8.3533,112.4663,112.91,5.1,mb,,67,1.671,0.95,us,us6000e0pw,2021-04-11T02:22:23.514Z,"21 km S of Sumberpucung, Indonesia",earthquake,7.2,6.3,0.072,62,reviewed,us,us
2021-04-10T23:47:29.112Z,-24.1492,-67.0857,183.27,4.2,mb,,63,1.557,1.15,us,us6000e0pv,2021-04-11T00:41:55.040Z,"78 km W of San Antonio de los Cobres, Argentina",earthquake,4.8,8.8,0.159,11,reviewed,us,us
2021-04-10T23:00:21.990Z,29.1537,129.3913,10,4.7,mb,,107,2.511,0.86,us,us6000e0pp,2021-04-10T23:22:14.040Z,"87 km N of Naze, Japan",earthquake,5.2,1.9,0.088,39,reviewed,us,us
2021-04-10T22:53:59.225Z,38.3134,20.6879,10,4.5,mb,,49,1.471,1.25,us,us6000e0pl,2021-04-11T07:18:39.919Z,"6 km SSW of Itháki, Greece",earthquake,5.7,1.9,0.087,39,reviewed,us,us
2021-04-10T21:49:37.905Z,28.254,67.3383,10,4.2,mb,,179,6.434,0.74,us,us6000e0pc,2021-04-10T22:06:01.040Z,"62 km WNW of Chowki Jamali, Pakistan",earthquake,10.6,2,0.121,19,reviewed,us,us
2021-04-10T21:35:29.481Z,66.3504,-157.4071,9.4,3.5,ml,,,,0.74,ak,ak0214lqgdcb,2021-04-10T21:53:33.927Z,"61 km S of Shungnak, Alaska",earthquake,,0.7,,,automatic,ak,ak
2021-04-10T20:40:44.968Z,29.8697,129.3107,25.7,4.8,mb,,127,1.907,0.78,us,us6000e0p5,2021-04-10T21:41:11.040Z,"116 km WSW of Kurio, Japan",earthquake,9.9,4.2,0.065,72,reviewed,us,us
2021-04-10T20:20:38.465Z,29.3136,129.402,10,4.8,mb,,90,2.369,0.87,us,us6000e0p1,2021-04-10T20:45:06.040Z,"Ryukyu Islands, Japan",earthquake,6.7,1.8,0.074,59,reviewed,us,us
2021-04-10T20:01:16.950Z,45.7878,149.6523,114.92,4.7,mb,,134,4.911,0.8,us,us6000e0nx,2021-04-10T20:37:22.040Z,"152 km ENE of Kuril’sk, Russia",earthquake,7.3,5.3,0.032,302,reviewed,us,us
2021-04-10T19:08:08.800Z,35.7253333,-121.6328333,16.93,2.55,md,67,218,0.276,0.19,nc,nc73547705,2021-04-11T22:50:58.473Z,"33km S of Lopez Point, CA",earthquake,0.58,0.37,0.164,56,reviewed,nc,nc
2021-04-10T18:21:48.497Z,31.7208,90.6714,10,4.7,mb,,35,5.029,0.41,us,us6000e0nr,2021-04-10T18:59:43.040Z,"134 km WNW of Nagqu, China",earthquake,9.7,1.9,0.07,68,reviewed,us,us
2021-04-10T18:18:14.312Z,29.2942,129.506,10,4.7,mb,,111,2.354,0.69,us,us6000e0nq,2021-04-10T18:50:43.040Z,"102 km N of Naze, Japan",earthquake,6.8,1.9,0.112,25,reviewed,us,us
2021-04-10T17:51:32.484Z,-31.4518,-179.8442,346.02,4.9,mb,,69,2.752,0.68,us,us6000e0nn,2021-04-10T18:39:26.040Z,"Kermadec Islands region",earthquake,11.1,5.4,0.057,100,reviewed,us,us
2021-04-10T17:08:29.154Z,44.2435,-115.0508,5.32,2.6,ml,,36,0.067,0.84,us,us6000e0na,2021-04-11T14:16:13.610Z,"9 km WNW of Stanley, Idaho",earthquake,2.3,7.2,0.04,82,reviewed,us,us
2021-04-10T16:33:53.354Z,-39.4088,-73.1876,42.23,4.7,mb,,166,0.505,0.83,us,us6000e0n4,2021-04-10T17:01:28.195Z,"44 km N of Las Animas, Chile",earthquake,6.5,8.9,0.208,7,reviewed,us,us
2021-04-10T16:07:38.977Z,29.18243408,-97.60098805,2.763387044,2.7,ml,23,55,0.03548736047,0.2,tx,tx2021hacs,2021-04-12T16:42:31.509Z,"10 km SSE of Smiley, Texas",earthquake,1.152988891,1.508276252,0.2,15,reviewed,tx,tx
2021-04-10T16:00:20.867Z,-7.1786,122.3499,545.38,4.8,mb,,54,1.452,0.91,us,us6000e0mw,2021-04-10T16:38:06.040Z,"160 km N of Maumere, Indonesia",earthquake,13.3,10.3,0.175,10,reviewed,us,us
2021-04-10T15:21:42.353Z,60.5517,-151.669,64.7,2.6,ml,,,,0.7,ak,ak0214lmsssg,2021-04-10T16:33:04.040Z,"20 km WSW of Salamatof, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-04-10T14:40:19.663Z,-37.5771,-179.7337,10,4.9,mb,,239,1.557,0.6,us,us6000e0mg,2021-04-10T15:15:16.040Z,"231 km ENE of Gisborne, New Zealand",earthquake,9.7,2,0.14,17,reviewed,us,us
2021-04-10T14:13:21.940Z,38.5226667,-122.5848333,9.14,3.26,ml,113,46,0.09054,0.16,nc,nc73547645,2021-04-13T05:22:08.314Z,"6km S of Calistoga, CA",earthquake,0.16,0.33,0.228,80,reviewed,nc,nc
2021-04-10T13:22:06.120Z,32.7705,-115.4393333,15.63,3.44,ml,80,34,0.03529,0.32,ci,ci39845832,2021-04-11T13:25:09.147Z,"7km SW of Holtville, CA",earthquake,0.24,0.41,0.114,191,reviewed,ci,ci
2021-04-10T13:10:42.207Z,29.4295,129.3938,33.9,4.9,mb,,106,2.265,0.92,us,us6000e0lw,2021-04-10T13:36:44.040Z,"118 km N of Naze, Japan",earthquake,8.2,5.9,0.075,55,reviewed,us,us
2021-04-10T12:45:44.644Z,60.0169,-149.1254,0,2.8,ml,,,,0.89,ak,ak0214ll5nbc,2021-04-10T12:58:43.812Z,"18 km ESE of Lowell Point, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-04-10T11:50:14.080Z,37.582,-121.6751667,3.95,2.93,md,116,62,0.07632,0.1,nc,nc73547590,2021-04-12T00:41:50.971Z,"14km SE of Livermore, CA",earthquake,0.09,0.32,0.143,147,reviewed,nc,nc
2021-04-10T11:38:32.429Z,-3.4527,145.7212,10,6,mww,,44,2.158,1.11,us,us6000e0lk,2021-04-12T12:01:19.271Z,"195 km N of Madang, Papua New Guinea",earthquake,4.6,1.8,0.052,35,reviewed,us,us
2021-04-10T11:20:12.350Z,17.9676,-66.8668,14,2.76,md,23,185,0.0145,0.12,pr,pr2021100003,2021-04-10T11:41:08.936Z,"2 km ESE of Maria Antonia, Puerto Rico",earthquake,0.37,0.4,0.14,18,reviewed,pr,pr
2021-04-10T10:58:29.132Z,-41.4891,174.5348,27.88,3.7,ml,,113,0.22,0.86,us,us6000e0l6,2021-04-12T02:24:56.528Z,"27 km SW of Brooklyn, New Zealand",earthquake,3.1,11.4,0.079,21,reviewed,us,us
2021-04-10T10:18:24.913Z,59.2536,-138.0012,0,2.7,ml,,,,0.59,ak,ak0214ljsy8c,2021-04-10T10:23:00.016Z,"103 km ESE of Yakutat, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-04-10T10:00:02.240Z,19.0616,-64.8425,34,3.46,md,12,338,1.3632,0.47,pr,pr2021100002,2021-04-10T11:22:41.914Z,"80 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,4.65,29.14,0.05,7,reviewed,pr,pr
2021-04-10T09:30:44.075Z,4.1069,124.6681,311.31,6.1,mww,,21,3.079,1.26,us,us6000e0k5,2021-04-12T10:00:54.592Z,"168 km SSW of Sarangani, Philippines",earthquake,7.3,5.1,0.041,57,reviewed,us,us
2021-04-10T09:06:56.920Z,-17.4948,167.9636,12.35,4.5,mb,,195,2.162,0.37,us,us6000e0k6,2021-04-10T10:00:05.040Z,"45 km NW of Port-Vila, Vanuatu",earthquake,11.5,4.6,0.135,16,reviewed,us,us
2021-04-10T08:56:51.830Z,44.1253333,-115.089,9.34,2.7,ml,11,80,0.118,0.24,mb,mb80495694,2021-04-10T13:18:55.190Z,"15 km SW of Stanley, Idaho",earthquake,0.53,0.86,0.17,13,reviewed,mb,mb
2021-04-10T07:52:48.041Z,-37.9514,-73.7304,20.43,5.3,mww,,153,1.94,0.66,us,us6000e0jq,2021-04-11T00:03:04.798Z,"33 km WSW of Cañete, Chile",earthquake,6.7,5.2,,,reviewed,us,guc
2021-04-10T07:38:15.790Z,47.4601666666667,-121.596833333333,11.41,2.8,ml,19,176,0.1157,0.24,uw,uw61723491,2021-04-13T04:13:15.187Z,"11 km E of Tanner, Washington",earthquake,0.71,1.15,0.252540622901168,12,reviewed,uw,uw
2021-04-10T07:36:28.962Z,29.2657,129.5592,35,5.2,mww,,105,2.365,0.6,us,us6000e0ji,2021-04-10T07:56:14.040Z,"99 km N of Naze, Japan",earthquake,6.3,2,0.098,10,reviewed,us,us
2021-04-10T07:34:14.720Z,48.8918333333333,-125.226166666667,37.22,3.28,ml,4,146,0.08327,0.06,uw,uw61723486,2021-04-10T19:55:00.622Z,"24 km ESE of Ucluelet, Canada",earthquake,0.68,0.88,0.12770686641003,5,reviewed,uw,uw
2021-04-10T07:31:03.390Z,-37.919,-73.6948,35,4.4,mb,,152,1.969,0.94,us,us6000e0jc,2021-04-10T09:59:16.040Z,"29 km WSW of Cañete, Chile",earthquake,6.5,2,0.127,18,reviewed,us,us
2021-04-10T07:14:02.051Z,-62.4009,-58.3064,10,5.5,mww,,90,0.233,0.52,us,us6000e0j2,2021-04-11T07:18:26.543Z,"South Shetland Islands",earthquake,3.5,1.8,0.089,12,reviewed,us,us
2021-04-10T07:00:17.391Z,-8.5622,112.519,82.28,6,mww,,26,1.617,1.15,us,us6000e0iy,2021-04-12T10:34:57.247Z,"44 km SSW of Gongdanglegi Kulon, Indonesia",earthquake,6.9,5.5,0.078,16,reviewed,us,us
2021-04-10T06:52:12.885Z,29.1508,129.8647,35,5.1,mww,,112,2.405,1.16,us,us6000e0iv,2021-04-11T01:26:31.040Z,"94 km NNE of Naze, Japan",earthquake,4,2,0.083,14,reviewed,us,us
